year,month,day,count
2018.0,5.0,12.0,168
2018.0,5.0,13.0,155
2018.0,5.0,14.0,292
2018.0,5.0,15.0,263
2018.0,5.0,16.0,484
2018.0,5.0,17.0,258
2018.0,5.0,18.0,172
2018.0,5.0,19.0,104
2018.0,5.0,20.0,252
2018.0,5.0,21.0,164
2018.0,5.0,22.0,235
2018.0,5.0,23.0,394
2018.0,5.0,24.0,378
2018.0,5.0,25.0,365
2018.0,5.0,26.0,216
2018.0,5.0,27.0,235
2018.0,5.0,28.0,374
2018.0,5.0,29.0,366
2018.0,5.0,30.0,394
2018.0,5.0,31.0,159
2018.0,6.0,1.0,563
2018.0,6.0,2.0,634
2018.0,6.0,3.0,532
2018.0,6.0,4.0,493
2018.0,6.0,5.0,474
